,별점,평점,일시,닉네임,감상평,좋아요,싫어요
0,★★★★★,10,2019.09.20 22:11,쿠챙챙(siyo****),등급 어딨노 이거 뭐노 이거 영화노 어뜨케 보노,4,0
1,★★★★★,10,2020.02.23 18:30,나윤이(rlas****),우왈 남진 잘생겼다..,0,0
